year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,8,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",89.00,13.00,2.25,1.60,3.16,0.00,5.99,2.00,1.00,1375.00,71.00,761.00,118.00,0.00,425.00
2023,8,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",62.00,10.00,1.97,0.04,0.57,0.00,7.42,0.00,1.00,799.00,218.00,1.00,62.00,0.00,518.00
2023,8,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",62.00,10.00,2.73,1.18,1.80,0.00,4.28,1.00,0.00,766.00,56.00,188.00,78.00,0.00,444.00
2023,8,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",66.00,12.00,3.69,2.27,4.47,0.00,1.57,1.00,1.00,1397.00,471.00,320.00,388.00,0.00,218.00
2023,8,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",92.00,22.00,7.76,0.00,2.96,0.00,11.28,2.00,0.00,1530.00,628.00,0.00,134.00,0.00,768.00
2023,8,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1636.00,256.00,55.98,27.81,63.64,0.00,108.57,32.00,11.00,29768.00,9339.00,4557.00,4676.00,0.00,11196.00
2023,8,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",75.00,12.00,5.62,0.97,4.41,0.00,1.00,0.00,0.00,843.00,535.00,170.00,111.00,0.00,27.00
2023,8,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",59.00,7.00,3.32,0.00,0.42,0.00,3.26,2.00,0.00,324.00,117.00,0.00,25.00,0.00,182.00
2023,8,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",62.00,13.00,6.53,0.94,3.54,0.00,1.99,0.00,0.00,707.00,470.00,77.00,87.00,0.00,73.00
2023,8,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",30.00,4.00,0.00,0.82,0.00,0.00,3.18,1.00,0.00,1421.00,0.00,532.00,0.00,0.00,889.00
2023,8,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",58.00,10.00,2.78,0.00,3.18,0.00,4.03,1.00,0.00,1604.00,207.00,0.00,1049.00,0.00,348.00
2023,8,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",124.00,13.00,8.42,1.00,0.50,0.00,3.08,3.00,0.00,1207.00,282.00,650.00,18.00,0.00,257.00
2023,8,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",84.00,17.00,4.11,0.00,4.24,0.00,8.65,2.00,2.00,1124.00,208.00,0.00,164.00,0.00,752.00
2023,8,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",166.00,25.00,6.02,2.91,11.40,0.00,4.68,2.00,0.00,1465.00,362.00,308.00,523.00,0.00,272.00
2023,8,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles",62.00,14.00,7.46,0.20,3.10,0.00,3.24,2.00,2.00,2641.00,1238.00,184.00,771.00,0.00,448.00
2023,8,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",147.00,30.00,11.85,0.00,11.00,0.00,7.16,3.00,0.00,1628.00,714.00,0.00,324.00,0.00,590.00
2023,8,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",154.00,25.00,7.96,0.00,10.66,0.00,6.38,2.00,0.00,1065.00,289.00,0.00,448.00,0.00,328.00
